"기관 명","송신 서버 번호","데이터 번호","모델명","고유번호","IoT기기상태값(꺼짐:0,  켜짐:1,  알수없음:2)","악취저감장치상태(꺼짐:0, 켜짐:1, 알수없음:2)","악취저감장치 연속OFF시간","등록일시"
"서울시","3","1","NTS100","0000000013","2","2","01440","2020-08-03 00:14:51"
"서울시","3","1","NTS100","0000000014","2","2","00390","2020-08-03 00:14:54"
"서울시","3","1","NTS100","0000000015","2","2","00392","2020-08-03 00:14:55"
"서울시","3","1","NTS100","0000000016","2","2","00392","2020-08-03 00:14:56"
"서울시","3","1","NTS100","0000000017","2","2","00390","2020-08-03 00:14:58"
"서울시","3","1","NTS100","0000000018","2","2","00390","2020-08-03 00:14:59"
"서울시","3","1","NTS100","0000000019","2","2","00390","2020-08-03 00:15:00"
"서울시","3","1","NTS100","0000000020","2","2","00390","2020-08-03 00:19:23"
"서울시","3","1","NTS100","0000000027","0","2","00218","2020-08-03 00:23:26"
"서울시","3","1","NTS100","0000000028","2","2","01934","2020-08-03 00:37:56"
"서울시","3","1","NTS100","0000000013","2","2","01442","2020-08-03 01:18:13"
"서울시","3","1","NTS100","0000000014","2","2","00391","2020-08-03 01:18:14"
"서울시","3","1","NTS100","0000000015","2","2","00393","2020-08-03 01:18:15"
"서울시","3","1","NTS100","0000000016","2","2","00393","2020-08-03 01:18:16"
"서울시","3","1","NTS100","0000000017","2","2","00391","2020-08-03 01:18:17"
"서울시","3","1","NTS100","0000000018","2","2","00391","2020-08-03 01:18:18"
"서울시","3","1","NTS100","0000000019","2","2","00391","2020-08-03 01:18:20"
"서울시","3","1","NTS100","0000000020","2","2","00391","2020-08-03 01:18:21"
"서울시","3","1","NTS100","0000000021","2","2","00391","2020-08-03 01:18:22"
"서울시","3","1","NTS100","0000000022","2","2","00391","2020-08-03 01:18:23"
"서울시","3","1","NTS100","0000000025","1","0","00072","2020-08-03 01:18:24"
"서울시","3","1","NTS100","0000000026","0","2","00219","2020-08-03 01:18:25"
"서울시","3","1","NTS100","0000000027","0","2","00219","2020-08-03 01:18:26"
"서울시","3","1","NTS100","0000000028","2","2","01935","2020-08-03 01:18:27"
"서울시","3","1","NTS100","0000000031","2","2","00395","2020-08-03 01:18:28"
"서울시","3","1","NTS100","0000000032","2","2","07389","2020-08-03 01:18:30"
"서울시","3","1","NTS100","0000000033","2","2","00695","2020-08-03 01:18:31"
"서울시","3","1","NTS100","0000000034","2","2","00391","2020-08-03 01:18:32"
"서울시","3","1","NTS100","0000000035","2","2","00391","2020-08-03 01:18:33"
"서울시","3","1","NTS100","0000000036","2","2","00391","2020-08-03 01:18:34"
"서울시","3","1","NTS100","0000000037","1","0","00001","2020-08-03 01:18:35"
"서울시","3","1","NTS100","0000000038","2","2","00727","2020-08-03 01:18:36"
"서울시","3","1","NTS100","0000000039","2","2","00392","2020-08-03 01:18:37"
"서울시","3","1","NTS100","0000000040","2","2","00400","2020-08-03 01:18:38"
"서울시","3","1","NTS100","0000000041","2","2","00391","2020-08-03 01:18:40"
"서울시","3","1","NTS100","0000000042","2","2","00664","2020-08-03 01:18:41"
"서울시","3","1","NTS100","0000000043","2","2","00662","2020-08-03 01:18:42"
"서울시","3","1","NTS100","0000000044","2","2","00398","2020-08-03 01:18:43"
"서울시","3","1","NTS100","0000000047","2","2","01407","2020-08-03 01:18:44"
"서울시","3","1","NTS100","0000000050","2","2","04509","2020-08-03 01:18:45"
"서울시","3","1","NTS100","0000000051","2","2","03244","2020-08-03 01:18:46"
"서울시","3","1","NTS100","0000000052","2","2","02402","2020-08-03 01:18:47"
"서울시","3","1","NTS100","0000000053","2","2","00391","2020-08-03 01:18:48"
"서울시","3","1","NTS100","0000000054","1","0","00094","2020-08-03 01:18:50"
"서울시","3","1","NTS100","0000000055","1","0","07692","2020-08-03 01:18:51"
"서울시","3","1","NTS100","0000000056","2","2","00399","2020-08-03 01:18:52"
"서울시","3","1","NTS100","0000000057","2","2","00392","2020-08-03 01:18:53"
"서울시","3","1","NTS100","0000000058","2","2","02736","2020-08-03 01:18:54"
"서울시","3","1","NTS100","0000000059","1","0","08734","2020-08-03 01:18:55"
"서울시","3","1","NTS100","0000000060","2","2","09832","2020-08-03 01:18:56"
"서울시","3","1","NTS100","0000000061","2","2","09839","2020-08-03 01:18:57"
"서울시","3","1","NTS100","0000000062","2","2","00424","2020-08-03 01:18:58"
"서울시","3","1","NTS100","0000000063","2","2","00471","2020-08-03 01:19:00"
"서울시","3","1","NTS100","0000000064","2","2","00391","2020-08-03 01:19:01"
"서울시","3","1","NTS100","0000000065","2","2","00391","2020-08-03 01:19:02"
"서울시","3","1","NTS100","0000000066","2","2","00926","2020-08-03 01:19:03"
"서울시","3","1","NTS100","0000000067","2","2","01578","2020-08-03 01:19:04"
"서울시","3","1","NTS100","0000000068","2","2","00394","2020-08-03 01:19:05"
"서울시","3","1","NTS100","0000000069","2","2","00391","2020-08-03 01:19:06"
"서울시","3","1","NTS100","0000000070","1","0","02840","2020-08-03 01:19:07"
"서울시","3","1","NTS100","0000000071","2","2","03762","2020-08-03 01:19:08"
"서울시","3","1","NTS100","0000000072","2","2","00020","2020-08-03 01:19:10"
"서울시","3","1","NTS100","0000000073","2","2","01083","2020-08-03 01:19:11"
"서울시","3","1","NTS100","0000000074","2","2","00391","2020-08-03 01:19:12"
"서울시","3","1","NTS100","0000000075","2","2","11750","2020-08-03 01:19:13"
